db_name,operation,count,total_time_micros,avg_time_micros,throughput_ops_per_sec
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7138,1.4276,700476.3239002522
LMDB,get,500,99,0.198,5050505.05050505
LMDB,delete,50,76,1.52,657894.7368421053
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7269,1.4538,687852.5244187646
LMDB,get,500,105,0.21,4761904.761904762
LMDB,delete,50,78,1.56,641025.641025641
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,6975,1.395,716845.8781362007
LMDB,get,500,100,0.2,5000000
LMDB,delete,50,76,1.52,657894.7368421053
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,6985,1.397,715819.6134574087
LMDB,get,500,98,0.196,5102040.816326531
LMDB,delete,50,76,1.52,657894.7368421053
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,6973,1.3946,717051.4842965725
LMDB,get,500,98,0.196,5102040.816326531
LMDB,delete,50,78,1.56,641025.641025641
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7364,1.4728,678978.815860945
LMDB,get,500,107,0.214,4672897.196261683
LMDB,delete,50,79,1.58,632911.3924050633
LMDB,range,50,13,0.26,3846153.846153846
LMDB,put,5000,7036,1.4072,710631.0403638431
LMDB,get,500,104,0.208,4807692.307692308
LMDB,delete,50,76,1.52,657894.7368421053
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7007,1.4014,713572.1421435707
LMDB,get,500,98,0.196,5102040.816326531
LMDB,delete,50,76,1.52,657894.7368421053
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7225,1.445,692041.5224913495
LMDB,get,500,105,0.21,4761904.761904762
LMDB,delete,50,81,1.62,617283.9506172839
LMDB,range,50,13,0.26,3846153.846153846
LMDB,put,5000,7158,1.4316,698519.1394244202
LMDB,get,500,101,0.202,4950495.049504951
LMDB,delete,50,80,1.6,625000
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7361,1.4722,679255.5359326178
LMDB,get,500,102,0.204,4901960.784313726
LMDB,delete,50,81,1.62,617283.9506172839
LMDB,range,50,13,0.26,3846153.846153846
LMDB,put,5000,7160,1.432,698324.0223463688
LMDB,get,500,101,0.202,4950495.049504951
LMDB,delete,50,81,1.62,617283.9506172839
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,6996,1.3992,714694.110920526
LMDB,get,500,99,0.198,5050505.05050505
LMDB,delete,50,76,1.52,657894.7368421053
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,6996,1.3992,714694.110920526
LMDB,get,500,98,0.196,5102040.816326531
LMDB,delete,50,76,1.52,657894.7368421053
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,6973,1.3946,717051.4842965725
LMDB,get,500,99,0.198,5050505.05050505
LMDB,delete,50,76,1.52,657894.7368421053
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,6968,1.3936,717566.0160734787
LMDB,get,500,99,0.198,5050505.05050505
LMDB,delete,50,76,1.52,657894.7368421053
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7001,1.4002,714183.6880445651
LMDB,get,500,101,0.202,4950495.049504951
LMDB,delete,50,76,1.52,657894.7368421053
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,6944,1.3888,720046.0829493088
LMDB,get,500,101,0.202,4950495.049504951
LMDB,delete,50,75,1.5,666666.6666666666
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7126,1.4252,701655.9079427449
LMDB,get,500,104,0.208,4807692.307692308
LMDB,delete,50,79,1.58,632911.3924050633
LMDB,range,50,13,0.26,3846153.846153846
LMDB,put,5000,6976,1.3952,716743.1192660551
LMDB,get,500,97,0.194,5154639.175257732
LMDB,delete,50,76,1.52,657894.7368421053
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7200,1.44,694444.4444444445
LMDB,get,500,101,0.202,4950495.049504951
LMDB,delete,50,79,1.58,632911.3924050633
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7419,1.4838,673945.2756436177
LMDB,get,500,104,0.208,4807692.307692308
LMDB,delete,50,80,1.6,625000
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7154,1.4308,698909.700866648
LMDB,get,500,99,0.198,5050505.05050505
LMDB,delete,50,78,1.56,641025.641025641
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7038,1.4076,710429.0991759023
LMDB,get,500,102,0.204,4901960.784313726
LMDB,delete,50,76,1.52,657894.7368421053
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,6939,1.3878,720564.9228995533
LMDB,get,500,98,0.196,5102040.816326531
LMDB,delete,50,75,1.5,666666.6666666666
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,6988,1.3976,715512.3068116772
LMDB,get,500,98,0.196,5102040.816326531
LMDB,delete,50,77,1.54,649350.6493506493
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7045,1.409,709723.2079489
LMDB,get,500,98,0.196,5102040.816326531
LMDB,delete,50,81,1.62,617283.9506172839
LMDB,range,50,16,0.32,3125000
LMDB,put,5000,7007,1.4014,713572.1421435707
LMDB,get,500,100,0.2,5000000
LMDB,delete,50,76,1.52,657894.7368421053
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7165,1.433,697836.7062107467
LMDB,get,500,106,0.212,4716981.132075472
LMDB,delete,50,79,1.58,632911.3924050633
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7032,1.4064,711035.2673492605
LMDB,get,500,104,0.208,4807692.307692308
LMDB,delete,50,76,1.52,657894.7368421053
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7420,1.484,673854.4474393531
LMDB,get,500,104,0.208,4807692.307692308
LMDB,delete,50,89,1.78,561797.7528089888
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7175,1.435,696864.1114982578
LMDB,get,500,102,0.204,4901960.784313726
LMDB,delete,50,78,1.56,641025.641025641
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,6987,1.3974,715614.7130385
LMDB,get,500,100,0.2,5000000
LMDB,delete,50,76,1.52,657894.7368421053
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,6989,1.3978,715409.9298898269
LMDB,get,500,99,0.198,5050505.05050505
LMDB,delete,50,76,1.52,657894.7368421053
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7121,1.4242,702148.5746383935
LMDB,get,500,100,0.2,5000000
LMDB,delete,50,76,1.52,657894.7368421053
LMDB,range,50,13,0.26,3846153.846153846
LMDB,put,5000,6994,1.3988,714898.484415213
LMDB,get,500,101,0.202,4950495.049504951
LMDB,delete,50,76,1.52,657894.7368421053
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,6985,1.397,715819.6134574087
LMDB,get,500,98,0.196,5102040.816326531
LMDB,delete,50,76,1.52,657894.7368421053
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7058,1.4116,708415.9818645508
LMDB,get,500,99,0.198,5050505.05050505
LMDB,delete,50,77,1.54,649350.6493506493
LMDB,range,50,16,0.32,3125000
LMDB,put,5000,7107,1.4214,703531.7292809905
LMDB,get,500,100,0.2,5000000
LMDB,delete,50,79,1.58,632911.3924050633
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,6957,1.3914,718700.5893344833
LMDB,get,500,98,0.196,5102040.816326531
LMDB,delete,50,75,1.5,666666.6666666666
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7252,1.4504,689464.975179261
LMDB,get,500,93,0.186,5376344.086021505
LMDB,delete,50,82,1.64,609756.0975609757
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,6980,1.396,716332.3782234958
LMDB,get,500,99,0.198,5050505.05050505
LMDB,delete,50,75,1.5,666666.6666666666
LMDB,range,50,13,0.26,3846153.846153846
LMDB,put,5000,7002,1.4004,714081.6909454442
LMDB,get,500,99,0.198,5050505.05050505
LMDB,delete,50,76,1.52,657894.7368421053
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,6960,1.392,718390.8045977012
LMDB,get,500,98,0.196,5102040.816326531
LMDB,delete,50,76,1.52,657894.7368421053
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7044,1.4088,709823.963657013
LMDB,get,500,99,0.198,5050505.05050505
LMDB,delete,50,76,1.52,657894.7368421053
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7006,1.4012,713673.9937196688
LMDB,get,500,99,0.198,5050505.05050505
LMDB,delete,50,78,1.56,641025.641025641
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7107,1.4214,703531.7292809905
LMDB,get,500,107,0.214,4672897.196261683
LMDB,delete,50,79,1.58,632911.3924050633
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7163,1.4326,698031.5510261063
LMDB,get,500,100,0.2,5000000
LMDB,delete,50,79,1.58,632911.3924050633
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7364,1.4728,678978.815860945
LMDB,get,500,103,0.206,4854368.932038835
LMDB,delete,50,86,1.72,581395.3488372093
LMDB,range,50,13,0.26,3846153.846153846
LMDB,put,5000,7473,1.4946,669075.3378830457
LMDB,get,500,103,0.206,4854368.932038835
LMDB,delete,50,82,1.64,609756.0975609757
LMDB,range,50,13,0.26,3846153.846153846
LMDB,put,5000,7005,1.401,713775.8743754461
LMDB,get,500,98,0.196,5102040.816326531
LMDB,delete,50,76,1.52,657894.7368421053
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7219,1.4438,692616.7059149467
LMDB,get,500,98,0.196,5102040.816326531
LMDB,delete,50,77,1.54,649350.6493506493
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7016,1.4032,712656.7844925884
LMDB,get,500,104,0.208,4807692.307692308
LMDB,delete,50,76,1.52,657894.7368421053
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,6944,1.3888,720046.0829493088
LMDB,get,500,105,0.21,4761904.761904762
LMDB,delete,50,75,1.5,666666.6666666666
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7292,1.4584,685682.9402084476
LMDB,get,500,104,0.208,4807692.307692308
LMDB,delete,50,82,1.64,609756.0975609757
LMDB,range,50,13,0.26,3846153.846153846
LMDB,put,5000,7029,1.4058,711338.7395077536
LMDB,get,500,99,0.198,5050505.05050505
LMDB,delete,50,76,1.52,657894.7368421053
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7433,1.4866,672675.904749092
LMDB,get,500,105,0.21,4761904.761904762
LMDB,delete,50,82,1.64,609756.0975609757
LMDB,range,50,13,0.26,3846153.846153846
LMDB,put,5000,6980,1.396,716332.3782234958
LMDB,get,500,100,0.2,5000000
LMDB,delete,50,76,1.52,657894.7368421053
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,6979,1.3958,716435.0193437455
LMDB,get,500,99,0.198,5050505.05050505
LMDB,delete,50,77,1.54,649350.6493506493
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7103,1.4206,703927.9177812191
LMDB,get,500,104,0.208,4807692.307692308
LMDB,delete,50,78,1.56,641025.641025641
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7488,1.4976,667735.0427350427
LMDB,get,500,102,0.204,4901960.784313726
LMDB,delete,50,96,1.92,520833.3333333334
LMDB,range,50,13,0.26,3846153.846153846
LMDB,put,5000,7020,1.404,712250.7122507123
LMDB,get,500,97,0.194,5154639.175257732
LMDB,delete,50,77,1.54,649350.6493506493
LMDB,range,50,13,0.26,3846153.846153846
LMDB,put,5000,6969,1.3938,717463.0506528914
LMDB,get,500,99,0.198,5050505.05050505
LMDB,delete,50,77,1.54,649350.6493506493
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,6981,1.3962,716229.766509096
LMDB,get,500,98,0.196,5102040.816326531
LMDB,delete,50,78,1.56,641025.641025641
LMDB,range,50,12,0.24,4166666.666666667
LMDB,put,5000,7470,1.494,669344.0428380187
LMDB,get,500,104,0.208,4807692.307692308
LMDB,delete,50,82,1.64,609756.0975609757
LMDB,range,50,13,0.26,3846153.846153846
