db_name,operation,count,total_time_micros,avg_time_micros,throughput_ops_per_sec
SpeedB,delete,50,304,6.08,164473.68421052632
SpeedB,range,50,1705,34.1,29325.513196480937
SpeedB,put,5000,20645,4.129,242189.39210462585
SpeedB,get,500,1888,3.776,264830.5084745763
SpeedB,delete,50,387,7.74,129198.96640826872
SpeedB,range,50,1957,39.14,25549.310168625445
SpeedB,put,5000,17125,3.425,291970.802919708
SpeedB,get,500,1553,3.106,321957.5016097875
SpeedB,delete,50,340,6.8,147058.82352941178
SpeedB,range,50,1691,33.82,29568.30277942046
SpeedB,put,5000,17235,3.447,290107.3397156948
SpeedB,get,500,1686,3.372,296559.90510083036
SpeedB,delete,50,383,7.66,130548.30287206266
SpeedB,range,50,1779,35.58,28105.67734682406
SpeedB,put,5000,19122,3.8244,261478.92479866123
SpeedB,get,500,1748,3.496,286041.1899313501
SpeedB,delete,50,351,7.02,142450.14245014245
SpeedB,range,50,1851,37.02,27012.42571582928
LSM Tree,put,100000,25034,0.25034,3994567.3883518414
LSM Tree,get,10000,82723,8.2723,120885.36440893101
LSM Tree,delete,1000,2051271,2051.271,487.5026264203998
LSM Tree,range,1000,16431,16.431,60860.568437709204
LSM Tree,put,100000,26882,0.26882,3719961.312402351
LSM Tree,get,10000,82586,8.2586,121085.89833627976
LSM Tree,delete,1000,2047250,2047.25,488.4601294419343
LSM Tree,range,1000,16338,16.338,61207.00208103807
LSM Tree,put,100000,28051,0.28051,3564935.2964243703
LSM Tree,get,10000,83067,8.3067,120384.7496599131
LSM Tree,delete,1000,2040909,2040.909,489.9777501103675
LSM Tree,range,1000,16515,16.515,60551.01422948834
LSM Tree,put,100000,29374,0.29374,3404371.212637026
LSM Tree,get,10000,81707,8.1707,122388.53464207472
LSM Tree,delete,1000,2044724,2044.724,489.0635606565972
LSM Tree,range,1000,16311,16.311,61308.319538961434
LSM Tree,put,100000,28135,0.28135,3554291.8073573844
LSM Tree,get,10000,81899,8.1899,122101.61296230723
LSM Tree,delete,1000,2046128,2046.128,488.72797791731506
LSM Tree,range,1000,16330,16.33,61236.987140232704
LSM Tree,put,100000,25686,0.25686,3893171.3774040337
LSM Tree,get,10000,81751,8.1751,122322.66271972208
LSM Tree,delete,1000,2048207,2048.207,488.231902341902
LSM Tree,range,1000,16264,16.264,61485.48942449582
LSM Tree,put,100000,28222,0.28222,3543334.9868896604
LSM Tree,get,10000,81413,8.1413,122830.506184516
LSM Tree,delete,1000,2070934,2070.934,482.8739109986122
LSM Tree,range,1000,16114,16.114,62057.837904927386
LSM Tree,put,100000,24460,0.2446,4088307.440719542
LSM Tree,get,10000,81801,8.1801,122247.89428002104
LSM Tree,delete,1000,2045174,2045.174,488.9559519141159
LSM Tree,range,1000,16342,16.342,61192.02056051891
LSM Tree,put,100000,29836,0.29836,3351655.7179246545
LSM Tree,get,10000,81635,8.1635,122496.47822625098
LSM Tree,delete,1000,2104933,2104.933,475.0745035590206
LSM Tree,range,1000,16228,16.228,61621.888094651214
LSM Tree,put,100000,33808,0.33808,2957879.791765263
LSM Tree,get,10000,81354,8.1354,122919.58600683432
LSM Tree,delete,1000,2045374,2045.374,488.9081410050191
LSM Tree,range,1000,16157,16.157,61892.67809618122
LSM Tree,put,100000,25839,0.25839,3870118.812647548
LSM Tree,get,10000,81312,8.1312,122983.07752853207
LSM Tree,delete,1000,2055109,2055.109,486.59219535314185
LSM Tree,range,1000,16160,16.16,61881.18811881188
LSM Tree,put,100000,25753,0.25753,3883042.752300703
LSM Tree,get,10000,81841,8.1841,122188.14530614238
LSM Tree,delete,1000,2050154,2050.154,487.76823594715324
LSM Tree,range,1000,16401,16.401,60971.89195780745
LSM Tree,put,100000,27928,0.27928,3580635.920939559
LSM Tree,get,10000,82593,8.2593,121075.63594977783
LSM Tree,delete,1000,2044726,2044.726,489.0630822907323
LSM Tree,range,1000,16374,16.374,61072.43190423843
SpeedB,put,100000,219379,2.19379,455832.1443711568
SpeedB,get,10000,20397,2.0397,490268.17669265094
SpeedB,delete,1000,4058,4.058,246426.8112370626
SpeedB,range,1000,460105,460.105,2173.416937438193
SpeedB,put,100000,219755,2.19755,455052.2172419285
SpeedB,get,10000,20161,2.0161,496007.1425028521
SpeedB,delete,1000,3923,3.923,254906.95895997962
SpeedB,range,1000,463411,463.411,2157.911659412487
SpeedB,put,100000,214755,2.14755,465646.8999557636
SpeedB,get,10000,19705,1.9705,507485.40979446843
SpeedB,delete,1000,3904,3.904,256147.54098360657
SpeedB,range,1000,463285,463.285,2158.498548409726
SpeedB,put,100000,216762,2.16762,461335.4739299324
SpeedB,get,10000,19891,1.9891,502739.932632849
SpeedB,delete,1000,3789,3.789,263921.87912377936
SpeedB,range,1000,469022,469.022,2132.0961490079358
SpeedB,put,100000,217644,2.17644,459465.9168182904
SpeedB,get,10000,20028,2.0028,499300.97862991807
SpeedB,delete,1000,3980,3.98,251256.2814070352
SpeedB,range,1000,464801,464.801,2151.4583660534295
SpeedB,put,100000,214609,2.14609,465963.68279056327
SpeedB,get,10000,19895,1.9895,502638.8539834129
SpeedB,delete,1000,3824,3.824,261506.27615062761
SpeedB,range,1000,481036,481.036,2078.8464896598175
SpeedB,put,100000,216334,2.16334,462248.19029833504
SpeedB,get,10000,19927,1.9927,501831.68565263215
SpeedB,delete,1000,3882,3.882,257599.1756826378
SpeedB,range,1000,493586,493.586,2025.9893919195438
SpeedB,put,100000,211209,2.11209,473464.6724334664
SpeedB,get,10000,19421,1.9421,514906.5444621801
SpeedB,delete,1000,3749,3.749,266737.7967457989
SpeedB,range,1000,455964,455.964,2193.155600003509
SpeedB,put,100000,213346,2.13346,468722.16962117876
SpeedB,get,10000,19636,1.9636,509268.6901609289
SpeedB,delete,1000,3725,3.725,268456.3758389262
SpeedB,range,1000,452321,452.321,2210.8193075271765
SpeedB,put,100000,212282,2.12282,471071.49923215347
SpeedB,get,10000,19559,1.9559,511273.5824939925
SpeedB,delete,1000,3695,3.695,270635.99458728015
SpeedB,range,1000,454081,454.081,2202.250259314968
SpeedB,put,100000,216286,2.16286,462350.7762869534
SpeedB,get,10000,19934,1.9934,501655.46302799234
SpeedB,delete,1000,3780,3.78,264550.2645502646
SpeedB,range,1000,457317,457.317,2186.6670165333894
SpeedB,put,100000,212823,2.12823,469874.0267734221
SpeedB,get,10000,19530,1.953,512032.7700972862
SpeedB,delete,1000,3714,3.714,269251.48088314483
SpeedB,range,1000,452012,452.012,2212.3306460890417
SpeedB,put,100000,212270,2.1227,471098.1297404249
SpeedB,get,10000,19539,1.9539,511796.9189825477
SpeedB,delete,1000,3741,3.741,267308.2063619353
SpeedB,range,1000,452449,452.449,2210.193856103119
SpeedB,put,100000,213424,2.13424,468550.86588200013
SpeedB,get,10000,19671,1.9671,508362.5641807737
SpeedB,delete,1000,3832,3.832,260960.33402922755
SpeedB,range,1000,457798,457.798,2184.369525423877
SpeedB,put,100000,212326,2.12326,470973.8797886269
SpeedB,get,10000,19581,1.9581,510699.1471324243
SpeedB,delete,1000,3818,3.818,261917.23415400734
SpeedB,range,1000,452592,452.592,2209.4955279810515
SpeedB,put,100000,207829,2.07829,481164.8037569348
SpeedB,get,10000,19241,1.9241,519723.5070942259
SpeedB,delete,1000,3743,3.743,267165.3753673524
SpeedB,range,1000,453783,453.783,2203.696480476351
SpeedB,put,100000,218914,2.18914,456800.38736672845
SpeedB,get,10000,20177,2.0177,495613.81771323783
SpeedB,delete,1000,3930,3.93,254452.9262086514
SpeedB,range,1000,460885,460.885,2169.7386549790076
